ngram,mean,wheight,stdev
adp och,26.029999999999973,2,2.6728636328849698
idag en,3.061428571428548,7,4.8823950016750555
från botten,-13.875,2,7.3892658633992925
finansminister mnuchin,7.21599999999994,15,11.873706726569083
på brexit,2.764285714285766,7,11.36129373082548
handel ger,-9.150000000000091,2,34.57752160002224
stark och,1.3942857142856806,7,17.35607756872013
kpi kpih,-14.54000000000004,3,21.452988136854046
osäkerhet och,-9.475000000000023,2,23.638579695066326
det antagligen,7.662499999999909,4,15.250349449548075
ska lämna,-4.520000000000057,6,12.498444703242013
vill höja,16.350000000000023,2,1.682914139224221
hur stora,-6.330000000000041,2,2.3051681066681384
vår inflationsguru,2.175000000000068,2,9.227743494484413
man räknar,0.6249999999998863,2,17.444324291872018
nya stora,-4.235000000000014,2,6.243752877877324
drygt den,-11.550000000000068,2,13.37846030004937
i kaklet,-5.363333333333306,6,16.649456047170656
hoppas kunna,8.553333333333285,3,8.703794191807065
i veckans,-15.737142857142837,7,33.865785937179346
pmi tillverkning,1.9940000000000964,5,20.383995682888152
första signalerna,-27.284999999999968,2,3.1749094475276047
är om,-5.6062499999999655,40,35.90231030974082
dessutom en,-7.347499999999968,4,24.577553953421194
investerare och,2.6299999999999955,2,28.001428534987056
varje månad,-3.1725000000000705,4,17.28777482307464
av världen,0.6283333333334061,6,16.222963251720312
men de,-0.3999999999999899,18,14.173568192029755
parlamentet igen,4.010000000000105,2,8.654987001723349
sin egen,-10.440000000000017,6,29.796186333153436
seb ligger,11.009999999999991,2,1.3859292911256589
de traditionella,-3.0266666666666424,3,0.45610671265978336
i kinas,2.3037500000000364,8,13.03711069820083
i handelsfrågan,-6.490000000000009,2,8.386286424872221
tina fomo,0.05999999999994543,2,37.123106012293746
utgången inte,16.62000000000012,2,0.0
nivån för,-2.7866666666667093,3,6.134739874952601
alltså ut,-9.7966666666667,3,37.22244663282267
het som,-0.3850000000001046,2,2.4112341238461847
det varit,-8.956666666666782,3,40.14291635311676
markant för,-14.230000000000018,3,25.686313476246323
stiger de,2.870000000000033,8,19.885895935130982
sprickan mellan,-0.972500000000025,4,7.967481304234988
asien nu,2.3194117647058192,17,14.46237120538514
att hindra,4.171428571428578,7,10.46085310187691
som marknaden,-7.889999999999873,3,8.278574756562909
