date,high,low,close,mean,vol,Oms,open
2015-08-20,"1553,54","1532,96","1534,39",,1,,"1553,51"
2015-08-19,"1576,86","1553,27","1553,51",,1,,"1583,53"
2015-08-18,"1592,84","1580,39","1583,53",,1,,"1592,81"
2015-08-17,"1603,68","1578,41","1592,81",,1,,"1586,83"
2015-08-14,"1598,29","1583,34","1586,83",,1,,"1594,15"
2015-08-13,"1599,61","1586,29","1594,15",,1,,"1575,04"
2015-08-12,"1604,03","1573,12","1575,04",,1,,"1614,72"
2015-08-11,"1638,12","1611,61","1614,72",,1,,"1636,54"
2015-08-10,"1636,63","1608,27","1636,54",,1,,"1612,28"
2015-08-07,"1622,94","1612,28","1612,28",,1,,"1621,56"
2015-08-06,"1627,48","1619,42","1621,56",,1,,"1627,42"
2015-08-05,"1630,01","1615,63","1627,42",,1,,"1611,88"
2015-08-04,"1616,90","1606,54","1611,88",,1,,"1618,28"
2015-08-03,"1621,73","1610,49","1618,28",,1,,"1615,64"
2015-07-31,"1615,64","1600,45","1615,64",,1,,"1603,50"
2015-07-30,"1609,38","1592,19","1603,50",,1,,"1597,86"
2015-07-29,"1603,32","1583,08","1597,86",,1,,"1588,22"
2015-07-28,"1594,86","1578,39","1588,22",,1,,"1581,33"
2015-07-27,"1608,06","1581,07","1581,33",,1,,"1612,80"
2015-07-24,"1626,72","1611,19","1612,80",,1,,"1619,81"
2015-07-23,"1636,49","1617,40","1619,81",,1,,"1621,27"
2015-07-22,"1633,35","1621,27","1621,27",,1,,"1636,42"
2015-07-21,"1658,93","1634,87","1636,42",,1,,"1653,44"
2015-07-20,"1655,82","1641,48","1653,44",,1,,"1635,47"
2015-07-17,"1648,81","1630,02","1635,47",,1,,"1636,12"
2015-07-16,"1639,18","1611,19","1636,12",,1,,"1601,97"
2015-07-15,"1612,55","1600,40","1601,97",,1,,"1616,25"
2015-07-14,"1616,56","1607,14","1616,25",,1,,"1614,42"
2015-07-13,"1616,56","1601,14","1614,42",,1,,"1590,54"
2015-07-10,"1590,54","1570,63","1590,54",,1,,"1549,59"
2015-07-09,"1552,04","1524,48","1549,59",,1,,"1520,88"
2015-07-08,"1528,61","1507,01","1520,88",,1,,"1516,12"
2015-07-07,"1541,71","1516,09","1516,12",,1,,"1526,94"
2015-07-06,"1539,46","1525,90","1526,94",,1,,"1553,60"
2015-07-03,"1564,29","1544,55","1553,60",,1,,"1562,10"
2015-07-02,"1577,77","1560,63","1562,10",,1,,"1575,50"
2015-07-01,"1582,10","1546,42","1575,50",,1,,"1541,66"
2015-06-30,"1561,34","1537,93","1541,66",,1,,"1559,80"
2015-06-29,"1585,78","1545,58","1559,80",,1,,"1608,26"
2015-06-26,"1614,30","1584,03","1608,26",,1,,"1601,12"
2015-06-25,"1613,17","1594,90","1601,12",,1,,"1611,50"
2015-06-24,"1627,57","1606,75","1611,50",,1,,"1620,95"
2015-06-23,"1628,24","1611,54","1620,95",,1,,"1606,62"
2015-06-22,"1606,62","1581,63","1606,62",,1,,"1562,43"
2015-06-18,"1565,23","1538,47","1562,43",,1,,"1567,46"
2015-06-17,"1584,27","1565,86","1567,46",,1,,"1582,23"
2015-06-16,"1585,80","1548,68","1582,23",,1,,"1566,99"
2015-06-15,"1586,38","1561,52","1566,99",,1,,"1597,33"
2015-06-12,"1611,40","1588,43","1597,33",,1,,"1604,89"
2015-06-11,"1618,66","1596,48","1604,89",,1,,"1610,38"
2015-06-10,"1613,03","1578,85","1610,38",,1,,"1587,84"
2015-06-09,"1594,46","1569,46","1587,84",,1,,"1589,57"
2015-06-08,"1608,24","1589,57","1589,57",,1,,"1606,45"
2015-06-05,"1616,95","1601,16","1606,45",,1,,"1625,02"
2015-06-04,"1639,26","1618,84","1625,02",,1,,"1641,69"
2015-06-03,"1650,28","1632,27","1641,69",,1,,"1638,65"
2015-06-02,"1657,59","1629,94","1638,65",,1,,"1649,59"
2015-06-01,"1656,85","1644,76","1649,59",,1,,"1644,99"
2015-05-29,"1669,13","1644,99","1644,99",,1,,"1667,06"
2015-05-28,"1668,48","1657,99","1667,06",,1,,"1664,08"
2015-05-27,"1664,16","1637,79","1664,08",,1,,"1638,49"
